id,id2,Geography,TotalPop,PopOver30,LivingWGrandChildren,Resp4GrandChildren,Resp4GrandChildren_30to59,Resp4GrandChildren_Over60
0500000US22005,22005,"Ascension Parish, Louisiana",119129,66493,2716,1085,655,430
0500000US22055,22055,"Lafayette Parish, Louisiana",238230,131202,3572,1237,823,414
0500000US22125,22125,"West Feliciana Parish, Louisiana",15376,9527,576,132,81,51
0500000US22051,22051,"Jefferson Parish, Louisiana",437038,261300,11062,4157,2232,1925
0500000US22011,22011,"Beauregard Parish, Louisiana",36598,21078,1139,764,588,176
0500000US22013,22013,"Bienville Parish, Louisiana",13806,8265,502,335,215,120
0500000US22015,22015,"Bossier Parish, Louisiana",125698,69026,3353,1905,1183,722
0500000US22023,22023,"Cameron Parish, Louisiana",6806,4140,102,58,51,7
0500000US22037,22037,"East Feliciana Parish, Louisiana",19553,12239,534,323,170,153
0500000US22039,22039,"Evangeline Parish, Louisiana",33750,18606,558,342,269,73
0500000US22045,22045,"Iberia Parish, Louisiana",73346,40358,2288,1279,857,422
0500000US22061,22061,"Lincoln Parish, Louisiana",47536,21216,860,451,242,209
0500000US22087,22087,"St. Bernard Parish, Louisiana",45067,24416,1331,437,207,230
0500000US22091,22091,"St. Helena Parish, Louisiana",10509,6179,550,364,165,199
0500000US22119,22119,"Webster Parish, Louisiana",40043,23431,996,523,339,184
0500000US22121,22121,"West Baton Rouge Parish, Louisiana",25518,14307,562,287,234,53
0500000US22031,22031,"De Soto Parish, Louisiana",27164,15950,573,384,79,305
0500000US22047,22047,"Iberville Parish, Louisiana",33122,19597,1352,830,552,278
0500000US22081,22081,"Red River Parish, Louisiana",8723,5191,238,190,51,139
0500000US22027,22027,"Claiborne Parish, Louisiana",16296,10078,446,321,242,79
0500000US22113,22113,"Vermilion Parish, Louisiana",59841,33915,1732,927,651,276
0500000US22127,22127,"Winn Parish, Louisiana",14631,8882,507,288,152,136
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",446167,236369,9430,4640,2867,1773
0500000US22085,22085,"Sabine Parish, Louisiana",24145,14220,699,343,173,170
0500000US22003,22003,"Allen Parish, Louisiana",25667,15566,559,404,258,146
0500000US22095,22095,"St. John the Baptist Parish, Louisiana",43565,24882,1286,515,363,152
0500000US22075,22075,"Plaquemines Parish, Louisiana",23394,13167,556,281,256,25
0500000US22073,22073,"Ouachita Parish, Louisiana",156433,85386,3583,1635,1085,550
0500000US22079,22079,"Rapides Parish, Louisiana",132080,74647,3475,1780,823,957
0500000US22117,22117,"Washington Parish, Louisiana",46449,27156,2022,1167,727,440
0500000US22097,22097,"St. Landry Parish, Louisiana",83580,46191,1731,701,396,305
0500000US22105,22105,"Tangipahoa Parish, Louisiana",128850,70214,3563,1727,1026,701
0500000US22001,22001,"Acadia Parish, Louisiana",62607,34326,1732,976,513,463
0500000US22101,22101,"St. Mary Parish, Louisiana",52578,29920,1458,853,537,316
0500000US22123,22123,"West Carroll Parish, Louisiana",11274,6719,294,192,103,89
0500000US22103,22103,"St. Tammany Parish, Louisiana",249201,148864,6124,2555,1352,1203
0500000US22111,22111,"Union Parish, Louisiana",22537,13522,550,366,177,189
0500000US22063,22063,"Livingston Parish, Louisiana",137096,77146,4367,2692,1564,1128
0500000US22067,22067,"Morehouse Parish, Louisiana",26290,15070,771,500,286,214
0500000US22069,22069,"Natchitoches Parish, Louisiana",39051,19717,692,342,176,166
0500000US22071,22071,"Orleans Parish, Louisiana",388182,225789,7460,3254,1880,1374
0500000US22109,22109,"Terrebonne Parish, Louisiana",113067,62911,3313,1377,777,600
0500000US22025,22025,"Catahoula Parish, Louisiana",10044,5839,281,212,181,31
0500000US22019,22019,"Calcasieu Parish, Louisiana",198753,110928,5102,2471,1693,778
0500000US22041,22041,"Franklin Parish, Louisiana",20388,11451,470,274,119,155
0500000US22009,22009,"Avoyelles Parish, Louisiana",41095,23903,1265,874,537,337
0500000US22007,22007,"Assumption Parish, Louisiana",22881,13466,724,389,173,216
0500000US22049,22049,"Jackson Parish, Louisiana",15952,9445,464,301,195,106
0500000US22077,22077,"Pointe Coupee Parish, Louisiana",22271,13482,620,374,204,170
0500000US22083,22083,"Richland Parish, Louisiana",20619,11771,690,467,325,142
0500000US22099,22099,"St. Martin Parish, Louisiana",53609,30628,1221,363,213,150
0500000US22115,22115,"Vernon Parish, Louisiana",51906,24964,1344,817,581,236
0500000US22059,22059,"LaSalle Parish, Louisiana",14930,8618,274,187,107,80
0500000US22089,22089,"St. Charles Parish, Louisiana",52728,30410,1670,658,246,412
0500000US22057,22057,"Lafourche Parish, Louisiana",98112,55871,2411,1421,846,575
0500000US22029,22029,"Concordia Parish, Louisiana",20211,11553,603,402,291,111
0500000US22107,22107,"Tensas Parish, Louisiana",4771,2924,162,141,101,40
0500000US22065,22065,"Madison Parish, Louisiana",11616,6471,466,346,225,121
0500000US22053,22053,"Jefferson Davis Parish, Louisiana",31405,17889,991,647,480,167
0500000US22093,22093,"St. James Parish, Louisiana",21485,12447,835,453,233,220
0500000US22043,22043,"Grant Parish, Louisiana",22305,13484,419,281,128,153
0500000US22021,22021,"Caldwell Parish, Louisiana",10000,5745,373,243,117,126
0500000US22017,22017,"Caddo Parish, Louisiana",251069,142753,6844,3403,1849,1554
0500000US22035,22035,"East Carroll Parish, Louisiana",7318,3892,146,90,45,45
